shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_135388,1,228,0,0,21,4,203,25,0,0,0,0,25,4,0.0,0.16,0.92,0.11786666666666668,0.16738051215652378,0.08666666666666667,0.03569243103265762,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,2,91,0,0,23,3,65,26,2,1,4,4,22,2,0.15384615384615385,0.07692307692307693,0.9230769230769231,0.15769230769230771,0.15212533304274828,0.023333333333333334,0.0006009333010297269,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,3,121,0,54,21,1,45,22,2,5,7,7,15,4,0.3181818181818182,0.18181818181818182,0.9545454545454546,0.2540909090909091,0.37392686083579657,0.055,0.05762611888349056,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,4,140,0,76,18,2,44,20,8,2,10,10,10,6,0.5,0.3,0.85,0.45150000000000007,0.6385252069332376,0.3933333333333333,0.9470729827880859,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,5,86,0,13,21,1,51,22,8,2,11,11,11,6,0.5,0.2727272727272727,0.7727272727272727,0.48469696969696974,0.648265412773912,0.485,0.9888765811920166,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,6,113,0,4,39,2,68,41,20,5,26,26,15,6,0.6341463414634146,0.14634146341463414,0.9512195121951219,0.5763414634146342,0.6460760694512988,0.7133333333333334,0.9971418976783752,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,7,132,0,0,46,2,84,48,16,3,23,23,25,15,0.4791666666666667,0.3125,0.7708333333333334,0.47625000000000006,0.5742890187012405,0.405,0.8071421384811401,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,8,137,0,0,59,0,78,59,29,4,34,34,25,8,0.576271186440678,0.13559322033898305,0.9152542372881356,0.5801129943502825,0.6431427196707172,0.6966666666666667,0.9948839545249939,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,9,188,0,0,72,1,115,73,28,6,35,35,38,12,0.4794520547945205,0.1643835616438356,0.9041095890410958,0.48191780821917807,0.5507045414260846,0.38666666666666666,0.790856122970581,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,10,163,0,0,45,1,117,46,23,2,27,26,19,6,0.5652173913043478,0.13043478260869565,0.8913043478260869,0.5665217391304348,0.6493410190087141,0.7183333333333333,0.9968493580818176,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
