shot,nstx_141711
n_total_files,679
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,267
n_mixed,22
n_eae_like,390
n_sent_to_classifiers,289
n_gold_good,70
n_silver_good,5
n_good_before_clustering,88
n_final_good,87
n_final_bad,201
n_flagged,33
fraction_good,0.30103806228373703
fraction_flagged,0.11418685121107267
rf_cnn_agreement_fraction,0.9307958477508651
mean_p_rf_good,0.3488465974625144
mean_p_cnn_good,0.2671914014806401
median_p_rf_good,0.14333333333333334
median_p_cnn_good,0.0042205690406262875
mode_clusters_removed,1
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
