shot,nstxuE204669M03t025
n_total_files,973
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,195
n_mixed,22
n_eae_like,756
n_sent_to_classifiers,217
n_gold_good,49
n_silver_good,18
n_good_before_clustering,71
n_final_good,71
n_final_bad,146
n_flagged,33
fraction_good,0.3271889400921659
fraction_flagged,0.15207373271889402
rf_cnn_agreement_fraction,0.8986175115207373
mean_p_rf_good,0.2987403993855607
mean_p_cnn_good,0.3498788458230108
median_p_rf_good,0.056666666666666664
median_p_cnn_good,0.09771648794412613
mode_clusters_removed,0
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
