shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxu_204202,1,16,0,0,14,0,2,14,0,0,0,0,14,2,0.0,0.14285714285714285,1.0,0.15047619047619049,0.0672698149231459,0.07666666666666666,9.996458811656339e-05,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,2,16,0,0,7,0,9,7,0,0,0,0,7,0,0.0,0.0,1.0,0.07523809523809524,0.0003450151529112777,0.013333333333333334,2.6841287308343453e-06,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,3,33,0,0,19,0,14,19,3,1,4,4,15,1,0.21052631578947367,0.05263157894736842,0.9473684210526315,0.2696491228070175,0.2681069754973821,0.13,0.00012811478518415242,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,4,62,0,0,17,1,44,18,5,0,5,5,13,0,0.2777777777777778,0.0,1.0,0.30425925925925923,0.27877447922575854,0.06666666666666667,2.347457908058459e-07,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,5,76,0,0,30,0,46,30,6,1,7,7,23,2,0.23333333333333334,0.06666666666666667,0.9666666666666667,0.2383333333333333,0.25428134057599866,0.02666666666666667,1.6061882888607215e-05,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,6,85,0,0,30,1,54,31,5,1,7,7,24,5,0.22580645161290322,0.16129032258064516,0.9354838709677419,0.28150537634408596,0.2638038289949718,0.1,0.00027557689463719726,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,7,102,0,0,42,3,57,45,7,1,9,9,36,4,0.2,0.08888888888888889,0.9555555555555556,0.20844444444444443,0.22441337722427843,0.043333333333333335,4.919441590200968e-11,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,8,105,0,0,27,4,74,31,9,0,12,12,19,4,0.3870967741935484,0.12903225806451613,0.9032258064516129,0.37215053763440864,0.30977125542999917,0.14666666666666667,0.0006858402630314231,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,9,110,0,0,31,1,78,32,9,2,12,11,20,2,0.34375,0.0625,0.9375,0.38708333333333333,0.3600519991465937,0.185,0.00278874475043267,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,10,120,0,0,44,4,72,48,9,1,11,11,37,1,0.22916666666666666,0.020833333333333332,0.9791666666666666,0.22770833333333337,0.20540696994192995,0.03166666666666667,2.0474556094995933e-07,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
