shot,n_train,n_train_good,n_train_bad,n_test,n_test_good,n_test_bad,model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
nstx_120113,1951,603,1348,174,46,128,rf,174,126,2,1,45,0.9827586206896551,0.9574468085106383,0.9782608695652174,0.967741935483871
nstx_120113,1951,603,1348,174,46,128,cnn,174,123,5,1,45,0.9655172413793104,0.9,0.9782608695652174,0.9375
nstx_120113,1951,603,1348,174,46,128,combined_policy,174,126,2,1,45,0.9827586206896551,0.9574468085106383,0.9782608695652174,0.967741935483871
nstx_135388,1745,464,1281,380,185,195,rf,380,188,7,19,166,0.9315789473684211,0.9595375722543352,0.8972972972972973,0.9273743016759777
nstx_135388,1745,464,1281,380,185,195,cnn,380,176,19,2,183,0.9447368421052632,0.905940594059406,0.9891891891891892,0.9457364341085271
nstx_135388,1745,464,1281,380,185,195,combined_policy,380,186,9,17,168,0.9315789473684211,0.9491525423728814,0.9081081081081082,0.9281767955801106
nstx_141711,1869,553,1316,256,96,160,rf,256,157,3,11,85,0.9453125,0.9659090909090909,0.8854166666666666,0.9239130434782609
nstx_141711,1869,553,1316,256,96,160,cnn,256,155,5,19,77,0.90625,0.9390243902439024,0.8020833333333334,0.8651685393258427
nstx_141711,1869,553,1316,256,96,160,combined_policy,256,157,3,11,85,0.9453125,0.9659090909090909,0.8854166666666666,0.9239130434782609
nstxuE202855A01t020,2046,601,1445,79,48,31,rf,79,31,0,10,38,0.8734177215189873,1.0,0.7916666666666666,0.8837209302325582
nstxuE202855A01t020,2046,601,1445,79,48,31,cnn,79,26,5,1,47,0.9240506329113924,0.9038461538461539,0.9791666666666666,0.9400000000000001
nstxuE202855A01t020,2046,601,1445,79,48,31,combined_policy,79,31,0,10,38,0.8734177215189873,1.0,0.7916666666666666,0.8837209302325582
nstxuE204669M03t025,1908,564,1344,217,85,132,rf,217,130,2,17,68,0.9124423963133641,0.9714285714285714,0.8,0.8774193548387097
nstxuE204669M03t025,1908,564,1344,217,85,132,cnn,217,123,9,8,77,0.9216589861751152,0.8953488372093024,0.9058823529411765,0.9005847953216374
nstxuE204669M03t025,1908,564,1344,217,85,132,combined_policy,217,129,3,17,68,0.9078341013824884,0.9577464788732394,0.8,0.8717948717948718
nstxuE205052A01t022,1832,575,1257,293,74,219,rf,293,209,10,15,59,0.9146757679180887,0.855072463768116,0.7972972972972973,0.8251748251748252
nstxuE205052A01t022,1832,575,1257,293,74,219,cnn,293,219,0,74,0,0.7474402730375427,,0.0,
nstxuE205052A01t022,1832,575,1257,293,74,219,combined_policy,293,209,10,15,59,0.9146757679180887,0.855072463768116,0.7972972972972973,0.8251748251748252
nstxuG121123K51,1917,620,1297,208,29,179,rf,208,173,6,7,22,0.9375,0.7857142857142857,0.7586206896551724,0.7719298245614034
nstxuG121123K51,1917,620,1297,208,29,179,cnn,208,157,22,19,10,0.8028846153846154,0.3125,0.3448275862068966,0.3278688524590164
nstxuG121123K51,1917,620,1297,208,29,179,combined_policy,208,173,6,7,22,0.9375,0.7857142857142857,0.7586206896551724,0.7719298245614034
nstxuG133964S31,2051,649,1402,74,0,74,rf,74,74,0,0,0,1.0,,,
nstxuG133964S31,2051,649,1402,74,0,74,cnn,74,73,1,0,0,0.9864864864864865,0.0,,
nstxuG133964S31,2051,649,1402,74,0,74,combined_policy,74,74,0,0,0,1.0,,,
nstxuG142301H47,1956,638,1318,169,11,158,rf,169,139,19,9,2,0.834319526627219,0.09523809523809523,0.18181818181818182,0.125
nstxuG142301H47,1956,638,1318,169,11,158,cnn,169,155,3,5,6,0.9526627218934911,0.6666666666666666,0.5454545454545454,0.6
nstxuG142301H47,1956,638,1318,169,11,158,combined_policy,169,139,19,9,2,0.834319526627219,0.09523809523809523,0.18181818181818182,0.125
nstxu_204202,1850,574,1276,275,75,200,rf,275,199,1,10,65,0.96,0.9848484848484849,0.8666666666666667,0.9219858156028369
nstxu_204202,1850,574,1276,275,75,200,cnn,275,198,2,11,64,0.9527272727272728,0.9696969696969697,0.8533333333333334,0.9078014184397163
nstxu_204202,1850,574,1276,275,75,200,combined_policy,275,199,1,9,66,0.9636363636363636,0.9850746268656716,0.88,0.9295774647887323
