shot,nstx_135388
n_total_files,1399
n_failed_load,0
n_nan_or_invalid,147
n_tae_like,365
n_mixed,17
n_eae_like,870
n_sent_to_classifiers,382
n_gold_good,139
n_silver_good,25
n_good_before_clustering,178
n_final_good,177
n_final_bad,204
n_flagged,52
fraction_good,0.46335078534031415
fraction_flagged,0.13612565445026178
rf_cnn_agreement_fraction,0.9109947643979057
mean_p_rf_good,0.4562478184991274
mean_p_cnn_good,0.4980398254660486
median_p_rf_good,0.3516666666666667
median_p_cnn_good,0.37393371760845184
mode_clusters_removed,1
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
