shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_135388,1,228,0,0,21,4,203,25,0,0,0,0,25,5,0.0,0.2,0.8,0.11786666666666668,0.22027120290108887,0.08666666666666667,2.9086789400667445e-12,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,2,91,0,0,23,3,65,26,2,1,4,4,22,1,0.15384615384615385,0.038461538461538464,0.9615384615384616,0.15769230769230771,0.11550775488269466,0.023333333333333334,1.3019863462640302e-34,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,3,121,0,54,21,1,45,22,2,3,7,7,15,5,0.3181818181818182,0.22727272727272727,0.8636363636363636,0.2540909090909091,0.2622433626014377,0.055,2.1664969822958675e-23,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,4,140,0,76,18,2,44,20,8,2,10,10,10,3,0.5,0.15,0.95,0.45150000000000007,0.5500964605034981,0.3933333333333333,0.9996911287307739,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,5,86,0,13,21,1,51,22,8,2,11,11,11,5,0.5,0.22727272727272727,0.8181818181818182,0.48469696969696974,0.6025313464078037,0.485,0.9999951124191284,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,6,113,0,4,39,2,68,41,20,5,26,26,15,5,0.6341463414634146,0.12195121951219512,0.975609756097561,0.5763414634146342,0.6096949373810001,0.7133333333333334,0.9999998807907104,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,7,132,0,0,46,2,84,48,18,1,23,23,25,10,0.4791666666666667,0.20833333333333334,0.8125,0.47625000000000006,0.528381663687121,0.405,0.9999864101409912,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,8,137,0,0,59,0,78,59,29,4,35,35,24,6,0.5932203389830508,0.1016949152542373,0.9491525423728814,0.5801129943502825,0.6101660589442348,0.6966666666666667,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,9,188,0,0,72,1,115,73,29,5,35,35,38,8,0.4794520547945205,0.1095890410958904,0.9315068493150684,0.48191780821917807,0.5329548618568879,0.38666666666666666,0.9999794960021973,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,10,163,0,0,45,1,117,46,23,2,27,26,19,4,0.5652173913043478,0.08695652173913043,0.9565217391304348,0.5665217391304348,0.5749770464655329,0.7183333333333333,0.9999809861183167,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
