shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuE202855A01t020,1,7,0,0,6,0,1,6,0,3,4,4,2,3,0.6666666666666666,0.5,0.8333333333333334,0.4583333333333333,0.6666666666666666,0.5266666666666666,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,2,6,0,0,5,0,1,5,1,3,4,4,1,2,0.8,0.4,1.0,0.5626666666666666,0.8,0.6,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,3,11,0,0,8,0,3,8,2,3,5,5,3,0,0.625,0.0,1.0,0.45666666666666667,0.625,0.6799999999999999,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,4,11,0,0,4,0,7,4,3,0,3,3,1,0,0.75,0.0,1.0,0.6433333333333334,0.75,0.8483333333333334,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,5,9,0,0,4,0,5,4,2,0,2,2,2,0,0.5,0.0,1.0,0.4708333333333333,0.5,0.48666666666666664,0.5,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,6,11,0,0,6,0,5,6,0,0,0,0,6,0,0.0,0.0,1.0,0.08666666666666667,0.03216422250227711,0.060000000000000005,2.6037782485666128e-09,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,7,14,0,0,11,0,3,11,3,3,7,7,4,3,0.6363636363636364,0.2727272727272727,0.8181818181818182,0.4651515151515152,0.6363106751792889,0.6466666666666666,0.9999994039535522,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,8,15,0,0,9,0,6,9,1,2,5,5,4,6,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.3859259259259259,0.7514737380875481,0.4266666666666667,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,9,18,0,0,12,1,5,13,3,2,6,6,7,5,0.46153846153846156,0.38461538461538464,0.7692307692307693,0.3269230769230769,0.6153239470756984,0.19666666666666666,0.9999998807907104,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,10,23,0,0,13,0,10,13,1,5,7,7,6,8,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.39589743589743587,0.8461529566691472,0.4633333333333333,0.9999986886978149,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
