path,shot,n,ntor,nr,nhar,omega,gamma_d,status,gap_region,signed_delta,fraction_below_upper2,p_rf_good,p_cnn_good,p_avg,final_label,tier,model_disagreement,near_threshold,large_score_gap,selected_final,rejection_reason,error_message
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N2/egn02w.8168E+01,nstxuE204669M03t025,2,2,201,25,2.857937516149908,-0.0,scored,tae_like,0.9533539529496452,1.0,0.5266666666666666,1.7770707940928892e-30,0.2633333333333333,good,flagged_rf_only_good,True,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N2/egn02w.8249E+01,nstxuE204669M03t025,2,2,201,25,2.872047343205164,-0.0,scored,tae_like,0.9329352882445429,1.0,0.44,5.987612288794639e-36,0.22,bad,flagged_borderline_or_disagreement,False,True,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N3/egn03w.9617E+01,nstxuE204669M03t025,3,3,201,35,3.1011288101599304,-4.8060772409422315e-05,scored,tae_like,0.6189237492773502,0.8846922069052157,0.023333333333333334,1.0,0.5116666666666667,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N3/egn03w.9634E+01,nstxuE204669M03t025,3,3,201,35,3.1038498914813326,-0.0012302399888117876,scored,tae_like,0.6205332714711546,0.8928189037192451,0.04,1.0,0.52,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N3/egn03w.1022E+02,nstxuE204669M03t025,3,3,201,35,3.1966807768854886,-1.482507823633482e-05,scored,tae_like,0.9415463022100423,0.9872970917005774,0.41333333333333333,1.0,0.7066666666666667,good,flagged_cnn_rescue,True,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7170E+01,nstxuE204669M03t025,4,4,201,46,2.6776311495780725,-0.0,scored,tae_like,0.7848020493144476,1.0,0.32666666666666666,1.0,0.6633333333333333,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7288E+01,nstxuE204669M03t025,4,4,201,46,2.6996821701639835,-0.0,scored,tae_like,0.8124593418333294,1.0,0.5066666666666667,1.0,0.7533333333333334,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7677E+01,nstxuE204669M03t025,4,4,201,46,2.7707273405891373,-0.0,scored,tae_like,0.9523655418717939,1.0,0.49,1.0,0.745,good,flagged_cnn_rescue,True,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.1691E+02,nstxuE204669M03t025,4,4,201,46,4.112465380393401,-5.794050802731029e-07,scored,tae_like,0.9682417142245362,0.9966462983857984,0.42,0.15842455625534058,0.28921227812767025,bad,flagged_borderline_or_disagreement,False,True,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.7072E+01,nstxuE204669M03t025,5,5,201,57,2.6593765461681436,-0.0,scored,tae_like,0.7499974665882587,1.0,0.21666666666666667,1.0,0.6083333333333334,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.1736E+02,nstxuE204669M03t025,5,5,201,57,4.166989365245105,-4.077940786870489e-06,scored,tae_like,0.9788111445986577,0.9966954403242437,0.4533333333333333,0.9997541308403015,0.7265437320868174,good,flagged_cnn_rescue,True,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.2048E+02,nstxuE204669M03t025,5,5,201,57,4.525547114532703,-0.0010977214857032622,scored,tae_like,0.9476912807982638,0.9922257419556357,0.023333333333333334,0.92209792137146,0.47271562735239664,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N6/egn06w.2005E+02,nstxuE204669M03t025,6,6,201,67,4.478252341910734,-6.603988638772263e-05,scored,tae_like,0.9698661493134074,0.9975724393206963,0.25333333333333335,0.9994893074035645,0.6264113203684489,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N8/egn08w.1700E+02,nstxuE204669M03t025,8,8,201,89,4.12321220727845,-0.00012211023656336678,scored,tae_like,0.9927439183386356,0.9995695509931909,0.52,1.0,0.76,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N8/egn08w.2505E+02,nstxuE204669M03t025,8,8,201,89,5.0049887735493765,-8.866174750258388e-05,scored,tae_like,0.08829975279458233,0.6589865646499663,0.15666666666666668,1.0,0.5783333333333334,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N9/egn09w.7093E+01,nstxuE204669M03t025,9,9,201,99,2.6631764375768396,-0.0,scored,tae_like,0.910466934194663,1.0,0.48,0.31437668204307556,0.39718834102153777,bad,flagged_borderline_or_disagreement,False,True,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N9/egn09w.7411E+01,nstxuE204669M03t025,9,9,201,99,2.722314568107488,-0.0,scored,tae_like,0.842784276222062,1.0,0.31666666666666665,0.9999350309371948,0.6583008488019307,bad,flagged_borderline_or_disagreement,True,False,True,,,
