shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG121123K51,1,33,0,0,14,0,19,14,0,0,0,0,14,0,0.0,0.0,1.0,0.012142857142857141,3.7622488446577763e-28,0.005,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,2,40,0,0,1,0,39,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,3,54,0,0,10,0,44,10,0,0,0,0,10,0,0.0,0.0,1.0,0.07433333333333333,0.030524280667304993,0.03166666666666666,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,4,67,0,0,14,0,53,14,0,0,0,0,14,1,0.0,0.07142857142857142,1.0,0.10571428571428573,3.567126307452991e-11,0.04833333333333334,8.047721587161362e-33,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,5,87,0,0,20,0,67,20,0,0,0,0,20,2,0.0,0.1,0.95,0.1085,0.0372069284149335,0.07166666666666667,8.639076759453183e-26,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,6,98,0,0,21,0,77,21,0,0,0,0,21,1,0.0,0.047619047619047616,0.9523809523809523,0.10523809523809524,0.04761909220168775,0.07,4.240861532314688e-31,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,7,108,0,0,28,1,79,29,1,0,3,3,26,4,0.10344827586206896,0.13793103448275862,0.9655172413793104,0.17057471264367813,0.06485255615711362,0.09666666666666666,1.5448163087514186e-32,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,8,112,0,0,32,0,80,32,1,1,5,5,27,6,0.15625,0.1875,0.90625,0.21302083333333333,0.06249978688382701,0.09333333333333334,2.4025747087379971e-35,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,9,127,0,0,35,1,91,36,3,3,10,10,26,8,0.2777777777777778,0.2222222222222222,0.8333333333333334,0.25583333333333336,0.24834640581716266,0.08166666666666667,8.451989302155505e-21,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,10,111,0,0,31,0,80,31,1,6,12,12,19,10,0.3870967741935484,0.3225806451612903,0.8064516129032258,0.31365591397849474,0.30339478615706755,0.13,1.047469133652612e-08,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
