shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG142301H47,1,25,0,0,0,0,25,0,0,0,0,0,0,0,,,,,,,,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,2,22,0,0,6,2,14,8,0,0,0,0,8,0,0.0,0.0,1.0,0.026666666666666665,0.0,0.0016666666666666668,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,3,44,0,0,3,0,41,3,0,0,0,0,3,0,0.0,0.0,1.0,0.10333333333333333,4.500263826548686e-31,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,4,66,0,0,5,0,61,5,0,0,2,2,3,2,0.4,0.4,0.6,0.30533333333333335,1.5445100152195406e-28,0.10666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,5,116,0,0,20,2,94,22,0,0,2,2,20,2,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.12212121212121213,3.119541203886787e-13,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,6,123,0,0,19,0,104,19,0,0,4,4,15,5,0.21052631578947367,0.2631578947368421,0.7368421052631579,0.20877192982456144,0.05263157894736842,0.16,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,7,141,0,0,27,2,112,29,0,0,6,6,23,10,0.20689655172413793,0.3448275862068966,0.7586206896551724,0.25494252873563217,0.03440416321955552,0.22333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,8,151,0,0,24,0,127,24,1,0,4,4,20,8,0.16666666666666666,0.3333333333333333,0.7916666666666666,0.2651388888888889,0.1156090780886719,0.24166666666666664,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,9,155,0,0,21,6,128,27,0,0,0,0,27,1,0.0,0.037037037037037035,1.0,0.1366666666666667,0.00022228470452074527,0.08,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,10,173,0,0,36,2,135,38,0,0,3,3,35,7,0.07894736842105263,0.18421052631578946,0.868421052631579,0.182280701754386,0.05463043250309353,0.16333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
