shot,n_train,n_train_good,n_train_bad,n_test,n_test_good,n_test_bad,model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
nstx_120113,1951,603,1348,174,46,128,rf,174,126,2,1,45,0.9827586206896551,0.9574468085106383,0.9782608695652174,0.967741935483871
nstx_120113,1951,603,1348,174,46,128,cnn,174,127,1,2,44,0.9827586206896551,0.9777777777777777,0.9565217391304348,0.967032967032967
nstx_120113,1951,603,1348,174,46,128,combined_policy,174,126,2,1,45,0.9827586206896551,0.9574468085106383,0.9782608695652174,0.967741935483871
nstx_135388,1745,464,1281,380,185,195,rf,380,188,7,19,166,0.9315789473684211,0.9595375722543352,0.8972972972972973,0.9273743016759777
nstx_135388,1745,464,1281,380,185,195,cnn,380,185,10,6,179,0.9578947368421052,0.9470899470899471,0.9675675675675676,0.9572192513368984
nstx_135388,1745,464,1281,380,185,195,combined_policy,380,186,9,16,169,0.9342105263157895,0.949438202247191,0.9135135135135135,0.931129476584022
nstx_141711,1869,553,1316,256,96,160,rf,256,157,3,11,85,0.9453125,0.9659090909090909,0.8854166666666666,0.9239130434782609
nstx_141711,1869,553,1316,256,96,160,cnn,256,156,4,14,82,0.9296875,0.9534883720930233,0.8541666666666666,0.9010989010989011
nstx_141711,1869,553,1316,256,96,160,combined_policy,256,156,4,9,87,0.94921875,0.9560439560439561,0.90625,0.9304812834224598
nstxuE202855A01t020,2046,601,1445,79,48,31,rf,79,31,0,10,38,0.8734177215189873,1.0,0.7916666666666666,0.8837209302325582
nstxuE202855A01t020,2046,601,1445,79,48,31,cnn,79,27,4,1,47,0.9367088607594937,0.9215686274509803,0.9791666666666666,0.9494949494949494
nstxuE202855A01t020,2046,601,1445,79,48,31,combined_policy,79,30,1,6,42,0.9113924050632911,0.9767441860465116,0.875,0.923076923076923
nstxuE204669M03t025,1908,564,1344,217,85,132,rf,217,130,2,17,68,0.9124423963133641,0.9714285714285714,0.8,0.8774193548387097
nstxuE204669M03t025,1908,564,1344,217,85,132,cnn,217,126,6,10,75,0.9262672811059908,0.9259259259259259,0.8823529411764706,0.9036144578313252
nstxuE204669M03t025,1908,564,1344,217,85,132,combined_policy,217,129,3,15,70,0.9170506912442397,0.958904109589041,0.8235294117647058,0.8860759493670886
nstxuE205052A01t022,1832,575,1257,293,74,219,rf,293,209,10,15,59,0.9146757679180887,0.855072463768116,0.7972972972972973,0.8251748251748252
nstxuE205052A01t022,1832,575,1257,293,74,219,cnn,293,191,28,1,73,0.9010238907849829,0.7227722772277227,0.9864864864864865,0.8342857142857142
nstxuE205052A01t022,1832,575,1257,293,74,219,combined_policy,293,208,11,14,60,0.9146757679180887,0.8450704225352113,0.8108108108108109,0.8275862068965518
nstxuG121123K51,1917,620,1297,208,29,179,rf,208,173,6,7,22,0.9375,0.7857142857142857,0.7586206896551724,0.7719298245614034
nstxuG121123K51,1917,620,1297,208,29,179,cnn,208,169,10,15,14,0.8798076923076923,0.5833333333333334,0.4827586206896552,0.5283018867924529
nstxuG121123K51,1917,620,1297,208,29,179,combined_policy,208,171,8,7,22,0.9278846153846154,0.7333333333333333,0.7586206896551724,0.7457627118644068
nstxuG133964S31,2051,649,1402,74,0,74,rf,74,74,0,0,0,1.0,,,
nstxuG133964S31,2051,649,1402,74,0,74,cnn,74,73,1,0,0,0.9864864864864865,0.0,,
nstxuG133964S31,2051,649,1402,74,0,74,combined_policy,74,74,0,0,0,1.0,,,
nstxuG142301H47,1956,638,1318,169,11,158,rf,169,139,19,9,2,0.834319526627219,0.09523809523809523,0.18181818181818182,0.125
nstxuG142301H47,1956,638,1318,169,11,158,cnn,169,155,3,8,3,0.9349112426035503,0.5,0.2727272727272727,0.3529411764705882
nstxuG142301H47,1956,638,1318,169,11,158,combined_policy,169,139,19,9,2,0.834319526627219,0.09523809523809523,0.18181818181818182,0.125
nstxu_204202,1850,574,1276,275,75,200,rf,275,199,1,10,65,0.96,0.9848484848484849,0.8666666666666667,0.9219858156028369
nstxu_204202,1850,574,1276,275,75,200,cnn,275,193,7,10,65,0.9381818181818182,0.9027777777777778,0.8666666666666667,0.8843537414965987
nstxu_204202,1850,574,1276,275,75,200,combined_policy,275,199,1,9,66,0.9636363636363636,0.9850746268656716,0.88,0.9295774647887323
