shot,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_120113,541,0,0,133,41,367,174,43,1,47,47,127,8,0.27011494252873564,0.04597701149425287,0.9770114942528736,0.28601532567049814,0.2583960873055188,0.03333333333333333,4.1352537377125965e-33,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,1399,0,147,365,17,870,382,139,25,178,177,204,52,0.46335078534031415,0.13612565445026178,0.9109947643979057,0.4562478184991274,0.4980398254660486,0.3516666666666667,0.37393371760845184,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_141711,679,0,0,267,22,390,289,73,5,91,90,198,27,0.31141868512110726,0.09342560553633218,0.9377162629757786,0.3488465974625144,0.29816186455553795,0.14333333333333334,8.01259750005821e-18,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,125,0,0,78,1,46,79,16,21,43,43,36,27,0.5443037974683544,0.34177215189873417,0.810126582278481,0.4073417721518987,0.6449983057399591,0.49666666666666665,0.9999996423721313,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,973,0,0,195,22,756,217,50,18,73,73,144,23,0.33640552995391704,0.10599078341013825,0.9308755760368663,0.2987403993855607,0.3777156240711873,0.056666666666666664,3.319711677052292e-24,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,1486,0,0,267,28,1191,295,53,13,71,68,224,43,0.2305084745762712,0.14576271186440679,0.8711864406779661,0.246090395480226,0.3389525946135214,0.05333333333333334,5.208009786743586e-19,3,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,837,0,0,206,2,629,208,6,10,30,30,178,32,0.14423076923076922,0.15384615384615385,0.9134615384615384,0.18014423076923075,0.11671061827323209,0.07,5.165728004801849e-35,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,830,0,0,52,24,754,76,0,0,0,0,76,1,0.0,0.013157894736842105,0.9868421052631579,0.026973684210526313,0.014631275885652653,0.02,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,1016,0,0,161,14,841,175,1,0,21,21,154,35,0.12,0.2,0.8514285714285714,0.18900952380952382,0.03916740988366693,0.13,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,725,0,0,261,14,450,275,53,7,67,66,208,26,0.24,0.09454545454545454,0.9345454545454546,0.26670303030303033,0.2597618386122993,0.06666666666666667,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
