fold,shot,split,n_rows,n_good,n_bad,n_other
1,nstx_120113,train,1951,603,1348,0
1,nstx_120113,test,174,46,128,0
2,nstx_135388,train,1745,464,1281,0
2,nstx_135388,test,380,185,195,0
3,nstx_141711,train,1869,553,1316,0
3,nstx_141711,test,256,96,160,0
4,nstxuE202855A01t020,train,2046,601,1445,0
4,nstxuE202855A01t020,test,79,48,31,0
5,nstxuE204669M03t025,train,1908,564,1344,0
5,nstxuE204669M03t025,test,217,85,132,0
6,nstxuE205052A01t022,train,1832,575,1257,0
6,nstxuE205052A01t022,test,293,74,219,0
7,nstxuG121123K51,train,1917,620,1297,0
7,nstxuG121123K51,test,208,29,179,0
8,nstxuG133964S31,train,2051,649,1402,0
8,nstxuG133964S31,test,74,0,74,0
9,nstxuG142301H47,train,1956,638,1318,0
9,nstxuG142301H47,test,169,11,158,0
10,nstxu_204202,train,1850,574,1276,0
10,nstxu_204202,test,275,75,200,0
