path,shot,n,ntor,nr,nhar,omega,gamma_d,status,gap_region,signed_delta,fraction_below_upper2,p_rf_good,p_cnn_good,p_avg,final_label,tier,model_disagreement,near_threshold,large_score_gap,selected_final,rejection_reason,error_message
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N1/egn01w.2721E+02,nstx_135388,1,1,201,21,5.216027564984053,-0.01642779981449554,scored,tae_like,0.9112367377777137,1.0,0.4,0.9990750551223755,0.6995375275611877,good,flagged_cnn_rescue,True,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N1/egn01w.2857E+02,nstx_135388,1,1,201,21,5.345291205722994,-0.013556777842180743,scored,tae_like,0.9000749780886913,1.0,0.4533333333333333,0.07274867594242096,0.26304100463787716,bad,flagged_borderline_or_disagreement,False,True,False,,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N1/egn01w.2865E+02,nstx_135388,1,1,201,21,5.353018501656949,-0.01305101743245412,scored,tae_like,0.8995900222878604,1.0,0.4533333333333333,0.06052159518003464,0.256927464256684,bad,flagged_borderline_or_disagreement,False,True,False,,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N1/egn01w.2885E+02,nstx_135388,1,1,201,21,5.370919042845077,-0.011371702955516766,scored,tae_like,0.8983659086375634,1.0,0.4533333333333333,0.0015126494690775871,0.22742299140120545,bad,flagged_borderline_or_disagreement,False,True,True,,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N1/egn01w.2905E+02,nstx_135388,1,1,201,21,5.389374022991337,-0.006875862836090767,scored,tae_like,0.9321981004444955,1.0,0.4266666666666667,7.389849088212941e-07,0.21333370282578776,bad,flagged_borderline_or_disagreement,False,True,True,,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N2/egn02w.1753E+02,nstx_135388,2,2,201,38,4.187301529716398,-0.00021578036370432222,scored,tae_like,0.9985968505865956,1.0,0.06,1.0,0.53,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N2/egn02w.1770E+02,nstx_135388,2,2,201,38,4.206718482265076,-2.7421288799205366e-05,scored,tae_like,0.9985454625575838,1.0,0.09666666666666666,0.9969766139984131,0.5468216403325399,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N2/egn02w.3169E+02,nstx_135388,2,2,201,38,5.629808743851509,-0.0,scored,tae_like,0.7965421921119518,1.0,0.5933333333333334,0.9999997615814209,0.7966665474573771,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N2/egn02w.3455E+02,nstx_135388,2,2,201,38,5.877793924238616,-0.0,scored,tae_like,0.9862711408195829,1.0,0.9166666666666666,1.227883206657949e-15,0.4583333333333339,good,flagged_rf_only_good,True,False,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N2/egn02w.6059E+02,nstx_135388,2,2,201,38,7.783745040932735,-1.325946769391708e-06,scored,tae_like,0.983288723475805,0.9932292679095541,0.09666666666666666,0.9898821711540222,0.5432744189103444,bad,flagged_borderline_or_disagreement,True,False,True,,,
