shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_135388,1,250,0,0,32,4,214,36,0,0,1,1,35,5,0.027777777777777776,0.1388888888888889,0.9722222222222222,0.10064814814814815,0.03149608038144677,0.043333333333333335,4.992915024531847e-34,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,2,57,0,0,30,1,26,31,2,1,4,4,27,5,0.12903225806451613,0.16129032258064516,0.8709677419354839,0.1324731182795699,0.19312446540401834,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,3,68,0,0,22,1,45,23,2,0,5,5,18,6,0.21739130434782608,0.2608695652173913,0.8260869565217391,0.26260869565217393,0.1494792790768612,0.06,2.1603763773855596e-38,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,4,78,0,0,29,2,47,31,9,2,14,10,17,5,0.3225806451612903,0.16129032258064516,0.8709677419354839,0.4227956989247312,0.3871867914916678,0.3333333333333333,0.0001783153275027871,4,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,5,73,0,0,22,0,51,22,9,1,14,14,8,6,0.6363636363636364,0.2727272727272727,0.7272727272727273,0.5634848484848485,0.5904392271380733,0.655,0.9994061887264252,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,6,86,0,0,21,0,65,21,15,1,16,16,5,2,0.7619047619047619,0.09523809523809523,1.0,0.7474603174603175,0.761907015190901,0.9,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,7,106,0,0,35,3,68,38,15,1,19,19,19,7,0.5,0.18421052631578946,0.8421052631578947,0.4733333333333333,0.5526303001732973,0.3516666666666667,0.9999978542327881,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,8,113,0,0,37,0,76,37,18,2,22,22,15,3,0.5945945945945946,0.08108108108108109,0.918918918918919,0.5590990990990992,0.5945910449465028,0.7333333333333333,0.9999994039535522,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,9,174,0,0,52,2,120,54,14,3,19,19,35,5,0.35185185185185186,0.09259259259259259,0.9444444444444444,0.3333333333333334,0.35185176891168246,0.12333333333333334,2.402476872926723e-25,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,10,164,0,0,50,1,113,51,23,2,27,26,24,5,0.5098039215686274,0.09803921568627451,0.9411764705882353,0.5324183006535946,0.5096695093423724,0.6,0.9338803291320801,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
