shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuE204669M03t025,1,82,0,0,16,16,50,32,0,0,0,0,32,0,0.0,0.0,1.0,0.0121875,3.244072537374242e-18,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,2,69,0,0,23,1,45,24,0,0,0,0,24,1,0.0,0.041666666666666664,1.0,0.04569444444444445,3.9904403661304516e-28,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,3,50,0,0,15,0,35,15,1,0,1,1,14,0,0.06666666666666667,0.0,1.0,0.07088888888888892,0.0678954239047477,0.016666666666666666,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,4,62,0,0,17,3,42,20,2,3,6,6,14,7,0.3,0.35,0.7,0.2948333333333333,0.4993941456204274,0.13333333333333333,0.49394646299362155,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,5,102,0,0,21,0,81,21,7,3,10,10,11,3,0.47619047619047616,0.14285714285714285,0.9047619047619048,0.39936507936507937,0.5714292282337706,0.2866666666666667,0.9999842643737793,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,6,89,0,0,14,0,75,14,3,2,6,6,8,4,0.42857142857142855,0.2857142857142857,0.7857142857142857,0.3242857142857143,0.5714241521699088,0.165,0.9999707341194153,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,7,64,0,0,13,0,51,13,2,3,7,7,6,4,0.5384615384615384,0.3076923076923077,0.7692307692307693,0.3651282051282052,0.6134255849398118,0.46,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,8,118,0,0,18,1,99,19,11,1,15,15,4,5,0.7894736842105263,0.2631578947368421,0.7368421052631579,0.6103508771929824,0.8947367668151855,0.72,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,9,173,0,0,33,1,139,34,8,2,11,11,23,6,0.3235294117647059,0.17647058823529413,0.8823529411764706,0.30245098039215684,0.4018552917942118,0.065,8.851102961671131e-08,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,10,164,0,0,25,0,139,25,5,4,12,12,13,6,0.48,0.24,0.84,0.3813333333333333,0.4821272019995376,0.31666666666666665,0.05122947692871094,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
