shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG121123J38,1,38,0,0,9,0,29,9,0,0,0,0,9,0,0.0,0.0,1.0,0.008888888888888889,0.0,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,2,42,0,0,4,0,38,4,0,0,0,0,4,0,0.0,0.0,1.0,0.0033333333333333335,1.4680860965197662e-19,0.0033333333333333335,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,3,46,0,0,6,2,38,8,0,0,0,0,8,0,0.0,0.0,1.0,0.01625,0.0,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,4,21,0,0,2,0,19,2,0,0,0,0,2,0,0.0,0.0,1.0,0.008333333333333333,2.856432170714958e-32,0.008333333333333333,2.856432170714958e-32,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,5,35,0,0,7,0,28,7,0,0,0,0,7,0,0.0,0.0,1.0,0.0880952380952381,6.721773486583665e-07,0.06666666666666667,1.999196172988043e-15,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,6,61,0,0,21,0,40,21,0,0,0,0,21,1,0.0,0.047619047619047616,0.9523809523809523,0.08222222222222222,0.04762310284740745,0.03,1.6745723977063856e-27,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,7,106,0,0,29,4,73,33,0,0,0,0,33,2,0.0,0.06060606060606061,0.9393939393939394,0.07767676767676768,0.05797361605751814,0.023333333333333334,2.9231424967940174e-36,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,8,73,0,0,23,1,49,24,0,2,2,2,22,4,0.08333333333333333,0.16666666666666666,0.9583333333333334,0.13527777777777777,0.13015034433793707,0.06666666666666667,2.462859755113025e-15,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,9,96,0,0,27,2,67,29,4,0,6,6,23,5,0.20689655172413793,0.1724137931034483,0.8620689655172413,0.23839080459770112,0.25135192689294683,0.09,3.2864021042154253e-21,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,10,102,0,0,37,0,65,37,6,3,12,11,25,8,0.2972972972972973,0.21621621621621623,0.8378378378378378,0.3135135135135135,0.3557117299220263,0.17333333333333334,1.8850379590595878e-10,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
