shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG121123K51,1,33,0,0,14,0,19,14,0,0,0,0,14,0,0.0,0.0,1.0,0.005238095238095238,1.128211041713814e-35,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,2,40,0,0,1,0,39,1,0,0,0,0,1,0,0.0,0.0,1.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,3,54,0,0,10,0,44,10,0,0,0,0,10,0,0.0,0.0,1.0,0.06633333333333333,2.541529683269044e-10,0.023333333333333334,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,4,67,0,0,14,0,53,14,0,0,0,0,14,0,0.0,0.0,1.0,0.07547619047619049,4.546839136310468e-07,0.021666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,5,87,0,0,20,0,67,20,0,0,0,0,20,0,0.0,0.0,1.0,0.04833333333333333,6.7105368373187026e-09,0.03333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,6,98,0,0,21,0,77,21,0,0,0,0,21,0,0.0,0.0,1.0,0.042539682539682544,1.976801598046663e-05,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,7,108,0,0,28,1,79,29,0,0,2,2,27,4,0.06896551724137931,0.13793103448275862,0.8620689655172413,0.11034482758620688,0.06894064583761429,0.03666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,8,112,0,0,32,0,80,32,0,1,3,3,29,4,0.09375,0.125,0.90625,0.13520833333333332,0.058450007812280554,0.03333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,9,127,0,0,35,1,91,36,0,3,6,6,30,6,0.16666666666666666,0.16666666666666666,0.8888888888888888,0.16398148148148145,0.10909048564531261,0.02666666666666667,3.1227744409450736e-34,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,10,111,0,0,31,0,80,31,0,4,7,7,24,9,0.22580645161290322,0.2903225806451613,0.8387096774193549,0.21344086021505376,0.16421638713969194,0.04666666666666667,7.365883435806587e-33,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
