shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG121123Q62,1,157,0,0,7,5,145,12,0,0,0,0,12,0,0.0,0.0,1.0,0.034444444444444444,1.1198276086405479e-18,0.021666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,2,75,0,0,12,0,63,12,0,0,0,0,12,0,0.0,0.0,1.0,0.03222222222222222,5.976545361818149e-18,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,3,134,0,0,24,2,108,26,0,0,0,0,26,0,0.0,0.0,1.0,0.023333333333333338,2.7541689073237105e-05,0.008333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,4,71,0,0,8,1,62,9,0,0,0,0,9,0,0.0,0.0,1.0,0.01814814814814815,0.0,0.013333333333333334,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,5,63,0,0,12,1,50,13,0,0,0,0,13,0,0.0,0.0,1.0,0.04846153846153846,6.265696784490106e-08,0.02666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,6,95,0,0,31,5,59,36,0,0,0,0,36,0,0.0,0.0,1.0,0.052222222222222225,0.0003389227301145565,0.016666666666666666,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,7,119,0,0,20,6,93,26,0,0,0,0,26,2,0.0,0.07692307692307693,0.9230769230769231,0.06410256410256411,0.06568574757871733,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,8,117,0,0,21,2,94,23,0,0,0,0,23,0,0.0,0.0,1.0,0.05202898550724637,2.022456053359371e-23,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,9,161,0,0,42,1,118,43,0,1,4,3,39,20,0.06976744186046512,0.46511627906976744,0.6046511627906976,0.18364341085271318,0.36611695893897434,0.12666666666666668,3.405325466054876e-10,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,10,194,0,0,40,1,153,41,0,2,3,3,38,13,0.07317073170731707,0.3170731707317073,0.7560975609756098,0.18447154471544716,0.29246326661264693,0.19,6.196141651923533e-19,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
