shot,n_train,n_train_good,n_train_bad,n_test,n_test_good,n_test_bad,model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
nstx_120113,2436,560,1876,174,46,128,rf,174,126,2,2,44,0.9770114942528736,0.9565217391304348,0.9565217391304348,0.9565217391304348
nstx_120113,2436,560,1876,174,46,128,cnn,174,126,2,2,44,0.9770114942528736,0.9565217391304348,0.9565217391304348,0.9565217391304348
nstx_120113,2436,560,1876,174,46,128,combined_policy,174,126,2,2,44,0.9770114942528736,0.9565217391304348,0.9565217391304348,0.9565217391304348
nstx_135388,2266,484,1782,344,122,222,rf,344,205,17,4,118,0.938953488372093,0.8740740740740741,0.9672131147540983,0.9182879377431906
nstx_135388,2266,484,1782,344,122,222,cnn,344,199,23,6,116,0.9156976744186046,0.8345323741007195,0.9508196721311475,0.888888888888889
nstx_135388,2266,484,1782,344,122,222,combined_policy,344,201,21,2,120,0.9331395348837209,0.851063829787234,0.9836065573770492,0.9125475285171102
nstx_141711,2354,510,1844,256,96,160,rf,256,159,1,29,67,0.8828125,0.9852941176470589,0.6979166666666666,0.8170731707317074
nstx_141711,2354,510,1844,256,96,160,cnn,256,157,3,26,70,0.88671875,0.958904109589041,0.7291666666666666,0.8284023668639053
nstx_141711,2354,510,1844,256,96,160,combined_policy,256,159,1,26,70,0.89453125,0.9859154929577465,0.7291666666666666,0.8383233532934132
nstxuE202855A01t020,2531,558,1973,79,48,31,rf,79,31,0,7,41,0.9113924050632911,1.0,0.8541666666666666,0.9213483146067416
nstxuE202855A01t020,2531,558,1973,79,48,31,cnn,79,28,3,3,45,0.9240506329113924,0.9375,0.9375,0.9375
nstxuE202855A01t020,2531,558,1973,79,48,31,combined_policy,79,30,1,4,44,0.9367088607594937,0.9777777777777777,0.9166666666666666,0.946236559139785
nstxuE204669M03t025,2393,521,1872,217,85,132,rf,217,131,1,27,58,0.8709677419354839,0.9830508474576272,0.6823529411764706,0.8055555555555557
nstxuE204669M03t025,2393,521,1872,217,85,132,cnn,217,127,5,8,77,0.9400921658986175,0.9390243902439024,0.9058823529411765,0.9221556886227545
nstxuE204669M03t025,2393,521,1872,217,85,132,combined_policy,217,131,1,18,67,0.9124423963133641,0.9852941176470589,0.788235294117647,0.8758169934640523
nstxuE205052A01t022,2317,532,1785,293,74,219,rf,293,213,6,17,57,0.9215017064846417,0.9047619047619048,0.7702702702702703,0.832116788321168
nstxuE205052A01t022,2317,532,1785,293,74,219,cnn,293,210,9,9,65,0.9385665529010239,0.8783783783783784,0.8783783783783784,0.8783783783783784
nstxuE205052A01t022,2317,532,1785,293,74,219,combined_policy,293,213,6,14,60,0.931740614334471,0.9090909090909091,0.8108108108108109,0.8571428571428571
nstxuG121123J38,2436,600,1836,174,6,168,rf,174,155,13,1,5,0.9195402298850575,0.2777777777777778,0.8333333333333334,0.4166666666666667
nstxuG121123J38,2436,600,1836,174,6,168,cnn,174,148,20,0,6,0.8850574712643678,0.23076923076923078,1.0,0.375
nstxuG121123J38,2436,600,1836,174,6,168,combined_policy,174,154,14,0,6,0.9195402298850575,0.3,1.0,0.4615384615384615
nstxuG121123K51,2402,577,1825,208,29,179,rf,208,177,2,13,16,0.9278846153846154,0.8888888888888888,0.5517241379310345,0.6808510638297872
nstxuG121123K51,2402,577,1825,208,29,179,cnn,208,177,2,17,12,0.9086538461538461,0.8571428571428571,0.41379310344827586,0.5581395348837208
nstxuG121123K51,2402,577,1825,208,29,179,combined_policy,208,177,2,13,16,0.9278846153846154,0.8888888888888888,0.5517241379310345,0.6808510638297872
nstxuG121123Q62,2369,593,1776,241,13,228,rf,241,224,4,12,1,0.9336099585062241,0.2,0.07692307692307693,0.1111111111111111
nstxuG121123Q62,2369,593,1776,241,13,228,cnn,241,210,18,1,12,0.921161825726141,0.4,0.9230769230769231,0.5581395348837209
nstxuG121123Q62,2369,593,1776,241,13,228,combined_policy,241,223,5,11,2,0.9336099585062241,0.2857142857142857,0.15384615384615385,0.2
nstxuG133964S31,2536,606,1930,74,0,74,rf,74,74,0,0,0,1.0,,,
nstxuG133964S31,2536,606,1930,74,0,74,cnn,74,74,0,0,0,1.0,,,
nstxuG133964S31,2536,606,1930,74,0,74,combined_policy,74,74,0,0,0,1.0,,,
nstxuG142301H47,2441,595,1846,169,11,158,rf,169,158,0,9,2,0.9467455621301775,1.0,0.18181818181818182,0.3076923076923077
nstxuG142301H47,2441,595,1846,169,11,158,cnn,169,157,1,6,5,0.9585798816568047,0.8333333333333334,0.45454545454545453,0.5882352941176471
nstxuG142301H47,2441,595,1846,169,11,158,combined_policy,169,158,0,9,2,0.9467455621301775,1.0,0.18181818181818182,0.3076923076923077
nstxuG142301Y93,2504,605,1899,106,1,105,rf,106,105,0,1,0,0.9905660377358491,,0.0,
nstxuG142301Y93,2504,605,1899,106,1,105,cnn,106,100,5,1,0,0.9433962264150944,0.0,0.0,
nstxuG142301Y93,2504,605,1899,106,1,105,combined_policy,106,103,2,1,0,0.9716981132075472,0.0,0.0,
nstxu_204202,2335,531,1804,275,75,200,rf,275,199,1,12,63,0.9527272727272728,0.984375,0.84,0.9064748201438849
nstxu_204202,2335,531,1804,275,75,200,cnn,275,195,5,11,64,0.9418181818181818,0.927536231884058,0.8533333333333334,0.888888888888889
nstxu_204202,2335,531,1804,275,75,200,combined_policy,275,199,1,12,63,0.9527272727272728,0.984375,0.84,0.9064748201438849
