shot,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_120113,541,0,0,133,41,367,174,43,1,46,46,128,5,0.26436781609195403,0.028735632183908046,0.9770114942528736,0.27153256704980844,0.2660237479301325,0.023333333333333334,9.642472261520094e-24,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,1169,0,0,330,14,825,344,107,13,141,136,203,49,0.3953488372093023,0.14244186046511628,0.9011627906976745,0.4034786821705426,0.4056517504639839,0.21666666666666667,3.965585034628693e-13,5,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_141711,679,0,0,267,22,390,289,54,9,71,70,218,24,0.2422145328719723,0.08304498269896193,0.9480968858131488,0.2648212226066897,0.2526141760481477,0.07,1.9772825905972583e-32,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,125,0,0,78,1,46,79,31,10,45,45,34,12,0.569620253164557,0.1518987341772152,0.9113924050632911,0.46767932489451464,0.6075939336211611,0.5633333333333334,1.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,973,0,0,195,22,756,217,39,18,68,68,149,36,0.31336405529953915,0.16589861751152074,0.8755760368663594,0.26513056835637483,0.3764841352026055,0.03333333333333333,9.335290067316542e-32,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,1486,0,0,267,28,1191,295,45,8,66,64,229,35,0.21694915254237288,0.11864406779661017,0.8915254237288136,0.21472316384180792,0.25459890178637984,0.023333333333333334,1.3968779722750034e-23,2,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,620,0,0,165,9,446,174,10,5,20,19,154,20,0.10919540229885058,0.11494252873563218,0.9195402298850575,0.1546360153256705,0.15222624911526447,0.04833333333333334,3.5235281222273135e-26,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,837,0,0,206,2,629,208,0,8,18,18,190,23,0.08653846153846154,0.11057692307692307,0.9230769230769231,0.11397435897435895,0.061961856223596845,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,1186,0,0,217,24,945,241,0,3,7,6,234,35,0.024896265560165973,0.14522821576763487,0.8796680497925311,0.09295988934993085,0.12221896564017294,0.03,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,830,0,0,52,24,754,76,0,0,0,0,76,0,0.0,0.0,1.0,0.01219298245614035,0.0017779491061037096,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,1016,0,0,161,14,841,175,1,0,2,2,173,9,0.011428571428571429,0.05142857142857143,0.96,0.07579047619047619,0.037280188168390495,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,651,0,0,93,13,545,106,0,0,2,2,104,5,0.018867924528301886,0.04716981132075472,0.9528301886792453,0.04323899371069182,0.0449323002549164,0.008333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,725,0,0,261,14,450,275,54,6,64,63,211,20,0.2290909090909091,0.07272727272727272,0.9527272727272728,0.2482787878787879,0.25079463744085884,0.04,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
