fold,shot,split,n_rows,n_good,n_bad,n_other
1,nstx_120113,train,2436,560,1876,0
1,nstx_120113,test,174,46,128,0
2,nstx_135388,train,2266,484,1782,0
2,nstx_135388,test,344,122,222,0
3,nstx_141711,train,2354,510,1844,0
3,nstx_141711,test,256,96,160,0
4,nstxuE202855A01t020,train,2531,558,1973,0
4,nstxuE202855A01t020,test,79,48,31,0
5,nstxuE204669M03t025,train,2393,521,1872,0
5,nstxuE204669M03t025,test,217,85,132,0
6,nstxuE205052A01t022,train,2317,532,1785,0
6,nstxuE205052A01t022,test,293,74,219,0
7,nstxuG121123J38,train,2436,600,1836,0
7,nstxuG121123J38,test,174,6,168,0
8,nstxuG121123K51,train,2402,577,1825,0
8,nstxuG121123K51,test,208,29,179,0
9,nstxuG121123Q62,train,2369,593,1776,0
9,nstxuG121123Q62,test,241,13,228,0
10,nstxuG133964S31,train,2536,606,1930,0
10,nstxuG133964S31,test,74,0,74,0
11,nstxuG142301H47,train,2441,595,1846,0
11,nstxuG142301H47,test,169,11,158,0
12,nstxuG142301Y93,train,2504,605,1899,0
12,nstxuG142301Y93,test,106,1,105,0
13,nstxu_204202,train,2335,531,1804,0
13,nstxu_204202,test,275,75,200,0
