shot,nstxuE205052A01t022
n_total_files,1486
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,267
n_mixed,28
n_eae_like,1191
n_sent_to_classifiers,295
n_gold_good,38
n_silver_good,6
n_good_before_clustering,65
n_final_good,63
n_final_bad,230
n_flagged,45
fraction_good,0.2135593220338983
fraction_flagged,0.15254237288135594
rf_cnn_agreement_fraction,0.8610169491525423
mean_p_rf_good,0.21472316384180792
mean_p_cnn_good,0.22423534107382706
median_p_rf_good,0.023333333333333334
median_p_cnn_good,7.279829367636774e-30
mode_clusters_removed,2
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
