path,shot,n,ntor,nr,nhar,omega,gamma_d,status,gap_region,signed_delta,fraction_below_upper2,p_rf_good,p_cnn_good,p_avg,final_label,tier,model_disagreement,near_threshold,large_score_gap,selected_final,rejection_reason,error_message
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.6327E+02,nstxuG121123J38,1,1,201,21,7.954041436503276,0.0037773727599412395,eae_like,eae_like,-0.6444096380183876,0.21274809446498225,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.6887E+02,nstxuG121123J38,1,1,201,21,8.298851838674901,0.0047579609712336685,eae_like,eae_like,-0.8679050673869196,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.6893E+02,nstxuG121123J38,1,1,201,21,8.302315973319333,0.007343504590595351,eae_like,eae_like,-0.8599220730226257,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.6910E+02,nstxuG121123J38,1,1,201,21,8.312804140217134,-0.0010152201049971105,eae_like,eae_like,-0.8704140924692512,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.7087E+02,nstxuG121123J38,1,1,201,21,8.418359204820671,-0.004503605985182233,eae_like,eae_like,-0.8770311449873398,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1113E+03,nstxuG121123J38,1,1,201,21,10.551376868420748,-5.7442794952495754e-05,eae_like,eae_like,-0.9931762965161222,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1235E+03,nstxuG121123J38,1,1,201,21,11.112076997948373,-0.00021756196145661995,eae_like,eae_like,-0.990891015784827,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1668E+03,nstxuG121123J38,1,1,201,21,12.915236816020407,0.0009533913659446423,eae_like,eae_like,-0.9904813679179872,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1669E+03,nstxuG121123J38,1,1,201,21,12.920545452559914,-1.1526950142670552e-05,eae_like,eae_like,-0.993759951486821,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1670E+03,nstxuG121123J38,1,1,201,21,12.92338367015818,4.717470446271993e-05,eae_like,eae_like,-0.9935075375498277,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1687E+03,nstxuG121123J38,1,1,201,21,12.989677726200737,4.457063210389802e-06,eae_like,eae_like,-0.9941091008963456,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1688E+03,nstxuG121123J38,1,1,201,21,12.993820312727294,-0.00017062114948305265,eae_like,eae_like,-0.9939331816513853,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1690E+03,nstxuG121123J38,1,1,201,21,12.999714540135102,-0.000144892516105524,eae_like,eae_like,-0.9940605404887909,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1701E+03,nstxuG121123J38,1,1,201,21,13.040616637707998,-2.526353148662042e-05,eae_like,eae_like,-0.9943100316852482,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1740E+03,nstxuG121123J38,1,1,201,21,13.191315601245643,0.0004006904955118816,eae_like,eae_like,-0.9946408506452553,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1742E+03,nstxuG121123J38,1,1,201,21,13.197730036828302,-0.0014245202743894902,eae_like,eae_like,-0.9946363976680267,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1743E+03,nstxuG121123J38,1,1,201,21,13.20174158597182,-7.30439866724245e-05,eae_like,eae_like,-0.9946399013461509,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1792E+03,nstxuG121123J38,1,1,201,21,13.387794049576982,0.0006372279557839185,eae_like,eae_like,-0.9936350489381063,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1818E+03,nstxuG121123J38,1,1,201,21,13.4847666754626,0.0002478615091575632,eae_like,eae_like,-0.994445875473876,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1829E+03,nstxuG121123J38,1,1,201,21,13.522725535289762,-0.000299404146616434,eae_like,eae_like,-0.9943748720022005,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1831E+03,nstxuG121123J38,1,1,201,21,13.530971738221744,-0.00010800482856867507,eae_like,eae_like,-0.9945766213568985,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1838E+03,nstxuG121123J38,1,1,201,21,13.555968409298131,-3.647977463840729e-05,eae_like,eae_like,-0.9934758317235484,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1844E+03,nstxuG121123J38,1,1,201,21,13.57941693284771,0.0001132425543166006,eae_like,eae_like,-0.9942946709683436,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1845E+03,nstxuG121123J38,1,1,201,21,13.582532887969672,-1.4532480354298893e-05,eae_like,eae_like,-0.994312084305254,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1848E+03,nstxuG121123J38,1,1,201,21,13.595580176925964,3.1645372950683275e-05,eae_like,eae_like,-0.9948625526683466,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1858E+03,nstxuG121123J38,1,1,201,21,13.629759935625344,3.8813701344131984e-05,eae_like,eae_like,-0.9944029550498303,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1861E+03,nstxuG121123J38,1,1,201,21,13.641839428248344,-0.00027810886704073717,eae_like,eae_like,-0.992964713800053,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1865E+03,nstxuG121123J38,1,1,201,21,13.657785795919565,0.00014463987061019977,eae_like,eae_like,-0.9923787164083743,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N1/egn01w.1866E+03,nstxuG121123J38,1,1,201,21,13.658421356743,-0.00022966738080253783,eae_like,eae_like,-0.9926000342094049,0.0,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N2/egn02w.3050E+02,nstxuG121123J38,2,2,201,38,5.522999719772334,-0.0007745866367212013,eae_like,eae_like,-0.31200974205600546,0.11623857209567862,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N2/egn02w.3153E+02,nstxuG121123J38,2,2,201,38,5.61506157843396,-0.0004285704880403491,eae_like,eae_like,-0.5605179329884532,0.10453175907744439,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N2/egn02w.5004E+02,nstxuG121123J38,2,2,201,38,7.074106275756286,-6.494625297691002e-05,eae_like,eae_like,-0.5632512251795803,0.26906112018561584,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N2/egn02w.5035E+02,nstxuG121123J38,2,2,201,38,7.095662523634108,-7.431835506351402e-05,eae_like,eae_like,-0.5071741532545154,0.3239736494643145,,,,,,,,,,,
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N2/egn02w.5066E+02,nstxuG121123J38,2,2,201,38,7.1173516759025075,-0.00032843868533122294,eae_like,eae_like,-0.5401420821009908,0.2977431882362615,,,,,,,,,,,
