shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG133964S31,1,52,0,0,0,0,52,0,0,0,0,0,0,0,,,,,,,,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,2,36,0,0,0,0,36,0,0,0,0,0,0,0,,,,,,,,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,3,59,0,0,2,0,57,2,0,0,0,0,2,0,0.0,0.0,1.0,0.04666666666666667,0.0,0.04666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,4,51,0,0,14,0,37,14,0,0,0,0,14,0,0.0,0.0,1.0,0.02166666666666667,4.328132124677319e-25,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,5,49,0,0,7,1,41,8,0,0,0,0,8,0,0.0,0.0,1.0,0.005833333333333333,0.0,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,6,82,0,0,7,3,72,10,0,0,0,0,10,0,0.0,0.0,1.0,0.019666666666666666,2.097637298732993e-21,0.0033333333333333335,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,7,115,0,0,2,2,111,4,0,0,0,0,4,0,0.0,0.0,1.0,0.005,1.3019956168062546e-37,0.005,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,8,119,0,0,10,8,101,18,0,0,0,0,18,0,0.0,0.0,1.0,0.004629629629629629,0.0,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,9,130,0,0,6,3,121,9,0,0,0,0,9,0,0.0,0.0,1.0,0.011851851851851853,4.677784983665409e-27,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,10,137,0,0,4,7,126,11,0,0,0,0,11,0,0.0,0.0,1.0,0.006969696969696968,4.9339628342566627e-11,0.0033333333333333335,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
