path,shot,n,ntor,nr,nhar,omega,gamma_d,status,gap_region,signed_delta,fraction_below_upper2,p_rf_good,p_cnn_good,p_avg,final_label,tier,model_disagreement,near_threshold,large_score_gap,selected_final,rejection_reason,error_message
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N5/egn05w.5828E+01,nstxuE205052A01t022,5,5,201,65,2.414145400765285,-0.001380430636656877,scored,tae_like,0.9955210929506151,1.0,0.05333333333333334,0.9727601408958435,0.5130467371145884,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N5/egn05w.7792E+01,nstxuE205052A01t022,5,5,201,65,2.791463266271076,-0.007696396290005577,scored,tae_like,0.9898114747389642,1.0,0.6533333333333333,1.588915766537538e-13,0.3266666666667461,good,flagged_rf_only_good,True,False,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N5/egn05w.9349E+01,nstxuE205052A01t022,5,5,201,65,3.0576614065553684,-0.0,scored,tae_like,0.8878004314306878,1.0,0.6366666666666667,1.6148052339737262e-10,0.3183333334140736,good,flagged_rf_only_good,True,False,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N5/egn05w.1151E+02,nstxuE205052A01t022,5,5,201,65,3.392239792531314,-0.0,scored,tae_like,0.9522405232484176,1.0,0.5233333333333333,1.0,0.7616666666666667,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N5/egn05w.2142E+02,nstxuE205052A01t022,5,5,201,65,4.628061197985896,-0.0007884296159148748,scored,tae_like,0.775277858432306,0.96768861747872,0.17333333333333334,1.0,0.5866666666666667,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N6/egn06w.7541E+01,nstxuE205052A01t022,6,6,201,78,2.746061492613941,-0.002104941385129388,scored,tae_like,0.9911814102888945,1.0,0.18333333333333332,0.9045663475990295,0.5439498404661814,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N6/egn06w.8889E+01,nstxuE205052A01t022,6,6,201,78,2.9814078319414534,-1.8655484111661847e-10,scored,tae_like,0.8434780034552425,1.0,0.30666666666666664,0.7935140132904053,0.550090339978536,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N6/egn06w.1731E+02,nstxuE205052A01t022,6,6,201,78,4.160588974745802,-0.011903756791382633,scored,tae_like,0.7341716407408779,0.8162412966363706,0.4,0.9999985694885254,0.6999992847442627,good,flagged_cnn_rescue,True,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N6/egn06w.1869E+02,nstxuE205052A01t022,6,6,201,78,4.323380272646383,-0.12563850572491186,scored,mixed,0.002423949680778194,0.346726286916425,0.24666666666666667,0.9979379773139954,0.622302321990331,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N6/egn06w.2238E+02,nstxuE205052A01t022,6,6,201,78,4.73057565329138,-0.0009117051377960109,scored,tae_like,0.7229640718627179,0.9699051841854445,0.06333333333333334,1.0,0.5316666666666666,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.9619E+01,nstxuE205052A01t022,7,7,201,90,3.1014354135105937,-8.066351775696458e-05,scored,tae_like,0.9642487655665888,1.0,0.30333333333333334,1.0,0.6516666666666666,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.1075E+02,nstxuE205052A01t022,7,7,201,90,3.2790080843556537,-1.0449791396836812e-10,scored,tae_like,0.9381623794613251,1.0,0.5066666666666667,1.0,0.7533333333333334,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.1206E+02,nstxuE205052A01t022,7,7,201,90,3.4722033396781877,-0.008081801647144277,scored,tae_like,0.937010186921481,0.9576158359459667,0.05333333333333334,1.0,0.5266666666666666,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.1398E+02,nstxuE205052A01t022,7,7,201,90,3.739184650472472,-7.38292295095625e-07,scored,tae_like,0.9631825902314668,0.9947833218377711,0.6966666666666667,2.3360724075694356e-18,0.34833333333333333,good,flagged_rf_only_good,True,False,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.1684E+02,nstxuE205052A01t022,7,7,201,90,4.103744955068483,-0.0266785238230385,scored,tae_like,0.7780195910822295,0.938862064028607,0.57,0.9999996423721313,0.7849998211860656,good,silver_good,False,True,True,False,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.1836E+02,nstxuE205052A01t022,7,7,201,90,4.284676764392964,-0.05435855385562902,scored,tae_like,0.5363784065497804,0.644027020857606,0.2833333333333333,0.9999723434448242,0.6416528383890787,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.2197E+02,nstxuE205052A01t022,7,7,201,90,4.687489583321763,-0.0011570518021600522,scored,tae_like,0.8207852013315639,0.8867627009904697,0.06,1.0,0.53,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.7107E+01,nstxuE205052A01t022,8,8,201,102,2.6659059209041573,-0.01769696076809468,scored,tae_like,0.9947545762506029,1.0,0.12,0.9999945163726807,0.5599972581863404,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.9263E+01,nstxuE205052A01t022,8,8,201,102,3.043470601436657,-0.0005056738881130908,scored,tae_like,0.9175099350770669,1.0,0.30666666666666664,1.0,0.6533333333333333,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.1484E+02,nstxuE205052A01t022,8,8,201,102,3.8524925981434404,-0.00014589621369446115,scored,tae_like,0.8865978204900528,0.9187037082863588,0.043333333333333335,1.0,0.5216666666666667,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.1771E+02,nstxuE205052A01t022,8,8,201,102,4.208107311652306,-0.24348779825432382,scored,tae_like,0.7218271598082291,0.8262893931208056,0.26666666666666666,0.716623842716217,0.4916452546914418,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.2217E+02,nstxuE205052A01t022,8,8,201,102,4.708304162209743,-0.003476444451819409,scored,tae_like,0.46834547776380386,0.8143228256078526,0.06,0.9868124127388,0.5234062063694,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.2361E+02,nstxuE205052A01t022,8,8,201,102,4.858784498306841,-0.0006353723599247841,scored,tae_like,-0.08173384634818492,0.7515101952230472,0.016666666666666666,1.0,0.5083333333333333,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N9/egn09w.7151E+01,nstxuE205052A01t022,9,9,201,115,2.6741064858252925,-0.033261684166366934,scored,tae_like,0.9954352433139142,1.0,0.15666666666666668,0.9999996423721313,0.578333154519399,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N9/egn09w.7373E+01,nstxuE205052A01t022,9,9,201,115,2.7152394341996606,-0.005340278466773918,scored,tae_like,0.9953405399721673,1.0,0.3,0.9975892305374146,0.6487946152687073,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N9/egn09w.1506E+02,nstxuE205052A01t022,9,9,201,115,3.8803225065623352,-0.00029500064088651743,scored,mixed,0.1519924249810067,0.23653974734198305,0.34,1.0,0.67,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N9/egn09w.1637E+02,nstxuE205052A01t022,9,9,201,115,4.045422735253747,-0.0001314785496820591,scored,tae_like,0.9134510877350352,0.9997734036970278,0.3566666666666667,0.9999995231628418,0.6783330949147542,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N9/egn09w.1755E+02,nstxuE205052A01t022,9,9,201,115,4.189629638158274,-0.13006229412780834,scored,tae_like,0.8776412191442151,0.9604712445936681,0.2633333333333333,0.9997631907463074,0.6315482620398203,bad,flagged_borderline_or_disagreement,True,False,True,,,
