shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuE205052A01t022,1,94,0,0,33,2,59,35,0,0,0,0,35,0,0.0,0.0,1.0,0.02114285714285714,1.8271245780286634e-17,0.013333333333333334,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,2,115,0,0,15,10,90,25,0,0,0,0,25,0,0.0,0.0,1.0,0.020266666666666665,2.8435078736634634e-11,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,3,107,0,0,23,6,78,29,2,0,2,1,27,0,0.034482758620689655,0.0,1.0,0.12839080459770116,0.06896582914919035,0.016666666666666666,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,4,110,0,0,10,3,97,13,1,0,1,1,12,0,0.07692307692307693,0.0,1.0,0.12128205128205129,0.07692293937389667,0.02,3.9282142161676295e-34,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,5,170,0,0,28,4,138,32,4,2,8,8,24,5,0.25,0.15625,0.875,0.22374999999999998,0.2494223373220149,0.04166666666666667,3.1892552292654697e-15,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,6,137,0,0,25,1,111,26,7,1,9,9,17,5,0.34615384615384615,0.19230769230769232,0.8076923076923077,0.35961538461538467,0.4882329653987059,0.13999999999999999,0.3967617734006126,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,7,121,0,0,21,0,100,21,6,2,9,8,12,7,0.38095238095238093,0.3333333333333333,0.7619047619047619,0.3690476190476191,0.571594460530226,0.2833333333333333,0.9999995231628418,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,8,222,0,0,34,1,187,35,13,1,14,14,21,6,0.4,0.17142857142857143,0.8285714285714286,0.39447619047619054,0.5629350330026328,0.06,0.9993011951446533,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,9,180,0,0,34,1,145,35,14,2,16,16,19,5,0.45714285714285713,0.14285714285714285,0.8571428571428571,0.44552380952380954,0.5999478102992918,0.34,0.9999995231628418,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,10,230,0,0,44,0,186,44,6,5,12,11,32,15,0.25,0.3409090909090909,0.7045454545454546,0.2815909090909091,0.5366148425390412,0.14333333333333334,0.995617002248764,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
