shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuE205052A01t022,1,94,0,0,33,2,59,35,0,0,0,0,35,0,0.0,0.0,1.0,0.02114285714285714,3.8961751305211844e-08,0.013333333333333334,7.186098351981028e-16,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,2,115,0,0,15,10,90,25,0,0,0,0,25,0,0.0,0.0,1.0,0.020266666666666665,2.2254556052916893e-06,0.01,9.305211517867702e-32,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,3,107,0,0,23,6,78,29,2,0,2,1,27,0,0.034482758620689655,0.0,1.0,0.12839080459770116,0.06896517609035852,0.016666666666666666,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,4,110,0,0,10,3,97,13,1,0,1,1,12,1,0.07692307692307693,0.07692307692307693,1.0,0.12128205128205129,0.11363601733764356,0.02,1.318574263049347e-21,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,5,170,0,0,28,4,138,32,4,2,8,8,24,4,0.25,0.125,0.90625,0.22374999999999998,0.21844480443694236,0.04166666666666667,5.791476180260478e-15,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,6,137,0,0,25,1,111,26,6,1,9,9,17,4,0.34615384615384615,0.15384615384615385,0.8461538461538461,0.35961538461538467,0.38438588572418403,0.13999999999999999,1.1351133935022517e-06,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,7,121,0,0,21,0,100,21,6,2,9,8,12,6,0.38095238095238093,0.2857142857142857,0.8095238095238095,0.3690476190476191,0.5184793571635254,0.2833333333333333,0.7162408828735352,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,8,222,0,0,34,1,187,35,13,0,14,14,21,4,0.4,0.11428571428571428,0.8857142857142857,0.39447619047619054,0.45791393055644797,0.06,3.36428286118462e-07,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,9,180,0,0,34,1,145,35,14,2,16,16,19,4,0.45714285714285713,0.11428571428571428,0.8857142857142857,0.44552380952380954,0.5807092885632081,0.34,0.9941171407699585,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,10,230,0,0,44,0,186,44,6,4,12,11,32,10,0.25,0.22727272727272727,0.7954545454545454,0.2815909090909091,0.4015578787850236,0.14333333333333334,0.0002946839085780084,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
