path,label,label_source,candidate_group,mode_key,rule_decision,rule_primary_reason,source_final_decision,selected_final,sign_flip_count_ns,step_l2_qs,run_peak_amplitude,run_peak_r,total_variation,mean_abs_step,stored_harmonic_index,run_start_r,run_end_r,mode_peak_amplitude_r_lt_0p1,mode_peak_harmonic_index,mode_peak_r,strongest_run_qs,strongest_run_harmonic_index,same_peak_and_run_harmonic,production_v4_candidate,production_v4_threshold_failure
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N9/egn09w.4623E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203963A01t025/N9/egn09w.4623E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,15,0.9851,0.2096,0.035,3.2111,0.2141,23,0.015,0.090,0.209648,23,0.035,0.985105,23,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N8/egn08w.4541E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203963A01t025/N8/egn08w.4541E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,9,0.9102,0.2021,0.075,2.6124,0.2903,20,0.055,0.100,0.202144,20,0.075,0.910182,20,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205054A01t037/N7/egn07w.2561E+02,good,rules_final_decision,pilot12_rule_survivor,nstxuE205054A01t037/N7/egn07w.2561E+02,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,13,0.7207,0.1768,0.035,2.0659,0.1589,10,0.025,0.090,0.176755,10,0.035,0.720715,10,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N10/egn10w.4539E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203963A01t025/N10/egn10w.4539E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,9,0.5056,0.1175,0.075,1.4301,0.1589,26,0.060,0.105,0.180683,26,0.020,0.505626,26,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204954A01t022/N10/egn10w.1050E+02,good,rules_final_decision,pilot12_rule_survivor,nstxuE204954A01t022/N10/egn10w.1050E+02,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,25,0.3806,0.1513,0.010,0.9950,0.0398,21,0.005,0.130,0.151286,21,0.010,0.380629,21,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205035A01t020/N7/egn07w.2822E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE205035A01t020/N7/egn07w.2822E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,12,0.3605,0.0931,0.050,0.9875,0.0823,19,0.040,0.100,0.093062,19,0.050,0.360539,19,True,False,amplitude
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N7/egn07w.4312E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203963A01t025/N7/egn07w.4312E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,10,0.3556,0.0813,0.050,1.0470,0.1047,18,0.035,0.085,0.100718,18,0.095,0.355577,18,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N10/egn10w.3699E+02,good,rules_final_decision,pilot12_rule_survivor,nstxuE205045A01t022/N10/egn10w.3699E+02,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,7,0.3543,0.2019,0.035,0.8819,0.1260,52,0.035,0.070,0.217299,56,0.035,0.354279,52,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203609A01t020/N8/egn08w.5439E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203609A01t020/N8/egn08w.5439E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,20,0.3486,0.1930,0.005,0.6846,0.0342,20,0.005,0.105,0.192970,20,0.005,0.348587,20,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N6/egn06w.4648E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203963A01t025/N6/egn06w.4648E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,13,0.3364,0.0845,0.020,1.0391,0.0799,15,0.015,0.080,0.084451,15,0.020,0.336443,15,True,False,amplitude
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203609A01t020/N8/egn08w.5685E+01,good,rules_final_decision,pilot12_rule_survivor,nstxuE203609A01t020/N8/egn08w.5685E+01,REVIEW,NO_GOOD_TEMPLATE,GOOD,True,20,0.3285,0.1684,0.005,0.6310,0.0315,20,0.005,0.105,0.168432,20,0.005,0.328514,20,True,True,
