shot,n,n_total_files,n_invalid,n_tae_like,n_mixed,n_eae_like,n_rule_evaluated,n_preliminary_bad,n_preliminary_review,n_preliminary_good,n_preliminary_invalid,n_final_bad,n_final_review,n_final_good_before_clustering,n_final_good,n_good_removed_as_duplicates,duplicate_processing_status,n_manual_override_rows,n_modes_manually_inspected,n_overrides_applied,n_stale_overrides,n_ambiguous_overrides,n_ineligible_overrides,n_unmatched_overrides,n_decisions_changed,transition_counts_json,manual_adjudication_performed,manual_override_sha256,primary_reason_counts_json,rule_set_version,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,rel_freq_tol,similarity_threshold,radial_location_tolerance,radial_width_tolerance,axis_artifact_gate_enabled,axis_artifact_r_ax,axis_artifact_amplitude_min,axis_artifact_width_max_grid
nstxu_204202,1,14,0,14,0,0,14,0,14,0,0,0,14,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":14}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,2,7,0,7,0,0,7,0,7,0,0,0,7,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":7}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,3,15,0,15,0,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,4,15,0,14,1,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,5,15,0,15,0,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,6,15,0,14,1,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,7,15,0,15,0,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,8,15,0,14,1,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,9,15,0,15,0,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
nstxu_204202,10,15,0,15,0,0,15,0,15,0,0,0,15,0,0,0,SKIPPED_NO_GOOD_MODES,0,0,0,0,0,0,0,0,{},False,,"{""NO_GOOD_TEMPLATE"":15}",tae-rules-axis-artifact-v1,0.5,0.4,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.1,0.05
