shot,nstxu_204202
n_total_files,141
n_invalid,0
n_tae_like,138
n_mixed,3
n_eae_like,0
n_rule_evaluated,141
n_preliminary_bad,66
n_preliminary_review,75
n_preliminary_good,0
n_preliminary_invalid,0
n_final_bad,66
n_final_review,75
n_final_good_before_clustering,0
n_final_good,0
n_good_removed_as_duplicates,0
duplicate_processing_status,SKIPPED_NO_GOOD_MODES
n_manual_override_rows,0
n_modes_manually_inspected,0
n_overrides_applied,0
n_stale_overrides,0
n_ambiguous_overrides,0
n_ineligible_overrides,0
n_unmatched_overrides,0
n_decisions_changed,0
transition_counts_json,{}
manual_adjudication_performed,False
manual_override_sha256,
primary_reason_counts_json,"{""BAD_AXIS_SPIKE"":66,""NO_GOOD_TEMPLATE"":75}"
rule_set_version,tae-rules-axis-artifact-v1
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
rel_freq_tol,0.02
similarity_threshold,0.9
radial_location_tolerance,0.1
radial_width_tolerance,0.05
axis_artifact_gate_enabled,True
axis_artifact_r_ax,0.03
axis_artifact_amplitude_min,0.1
axis_artifact_width_max_grid,10.0
