path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstxuG121123Q62/N1/egn01w.1388E+02,bad,none,0.0760,0.3151,mixed,
nstxuG121123Q62/N1/egn01w.1415E+02,bad,none,0.4465,0.4947,mixed,
nstxuG121123Q62/N1/egn01w.1551E+02,bad,none,0.6154,0.6852,below_upper2,
nstxuG121123Q62/N1/egn01w.1682E+02,bad,none,0.4770,0.7528,below_upper2,
nstxuG121123Q62/N1/egn01w.1684E+02,bad,none,0.3561,0.6818,below_upper2,
nstxuG121123Q62/N1/egn01w.1686E+02,bad,none,0.0277,0.5016,below_upper2,
nstxuG121123Q62/N1/egn01w.1698E+02,bad,none,0.0642,0.3226,mixed,
nstxuG121123Q62/N1/egn01w.1724E+02,bad,none,0.2435,0.6469,below_upper2,
nstxuG121123Q62/N1/egn01w.1828E+02,bad,none,-0.0473,0.3619,mixed,
nstxuG121123Q62/N1/egn01w.1865E+02,bad,none,-0.0213,0.3530,mixed,
nstxuG121123Q62/N1/egn01w.6324E+01,bad,none,0.9786,1.0000,below_upper2,
nstxuG121123Q62/N1/egn01w.8320E+01,bad,none,0.9760,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1093E+02,bad,none,0.9767,0.9999,below_upper2,
nstxuG121123Q62/N10/egn10w.1117E+02,bad,none,0.9861,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1125E+02,bad,none,0.9780,0.9999,below_upper2,
nstxuG121123Q62/N10/egn10w.1139E+02,bad,none,0.9830,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1145E+02,bad,none,0.9793,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1159E+02,bad,none,0.9817,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1229E+02,bad,none,0.9828,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1239E+02,bad,none,0.9847,0.9995,below_upper2,
nstxuG121123Q62/N10/egn10w.1242E+02,bad,none,0.9827,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.1253E+02,bad,none,0.9832,0.9999,below_upper2,
nstxuG121123Q62/N10/egn10w.1267E+02,bad,none,0.9823,0.9982,below_upper2,
nstxuG121123Q62/N10/egn10w.1278E+02,bad,none,0.9798,0.9982,below_upper2,
nstxuG121123Q62/N10/egn10w.1314E+02,bad,none,0.9808,0.9959,below_upper2,
nstxuG121123Q62/N10/egn10w.1328E+02,bad,none,0.9794,0.9991,below_upper2,
nstxuG121123Q62/N10/egn10w.1339E+02,bad,none,0.9661,0.9738,below_upper2,
nstxuG121123Q62/N10/egn10w.1351E+02,bad,none,0.9802,0.9916,below_upper2,
nstxuG121123Q62/N10/egn10w.1466E+02,bad,none,0.9657,0.9878,below_upper2,
nstxuG121123Q62/N10/egn10w.1554E+02,bad,none,0.9485,0.9995,below_upper2,
nstxuG121123Q62/N10/egn10w.1578E+02,bad,none,0.7684,0.8525,below_upper2,
nstxuG121123Q62/N10/egn10w.1588E+02,bad,none,0.9886,0.9961,below_upper2,
nstxuG121123Q62/N10/egn10w.1591E+02,bad,none,0.7877,0.8758,below_upper2,
nstxuG121123Q62/N10/egn10w.1596E+02,bad,none,0.2538,0.4954,mixed,
nstxuG121123Q62/N10/egn10w.1600E+02,bad,none,0.7876,0.8810,below_upper2,
nstxuG121123Q62/N10/egn10w.1609E+02,bad,none,0.1664,0.6373,below_upper2,
nstxuG121123Q62/N10/egn10w.1611E+02,bad,none,0.7824,0.8812,below_upper2,
nstxuG121123Q62/N10/egn10w.1624E+02,bad,none,0.4259,0.6127,below_upper2,
nstxuG121123Q62/N10/egn10w.1626E+02,bad,none,0.7812,0.8787,below_upper2,
nstxuG121123Q62/N10/egn10w.1644E+02,bad,none,0.7888,0.8858,below_upper2,
nstxuG121123Q62/N10/egn10w.1665E+02,bad,none,0.8236,0.9146,below_upper2,
nstxuG121123Q62/N10/egn10w.1690E+02,good,tae,0.8353,0.9297,below_upper2,
nstxuG121123Q62/N10/egn10w.1758E+02,good,tae,0.7759,0.9095,below_upper2,
nstxuG121123Q62/N10/egn10w.1809E+02,bad,none,0.6973,0.8265,below_upper2,
nstxuG121123Q62/N10/egn10w.1850E+02,good,tae,0.8965,0.9873,below_upper2,
nstxuG121123Q62/N10/egn10w.1895E+02,good,tae,0.5211,0.7262,below_upper2,
nstxuG121123Q62/N10/egn10w.2101E+02,bad,none,0.9150,0.9856,below_upper2,
nstxuG121123Q62/N10/egn10w.2206E+02,bad,none,0.5112,0.7611,below_upper2,
nstxuG121123Q62/N10/egn10w.2209E+02,bad,none,0.9195,0.9949,below_upper2,
nstxuG121123Q62/N10/egn10w.5912E+01,bad,none,0.8375,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.6347E+01,bad,none,0.9427,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.8670E+01,bad,none,0.9825,1.0000,below_upper2,
nstxuG121123Q62/N10/egn10w.9232E+01,bad,none,0.9820,1.0000,below_upper2,
