path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstx_135388/N1/egn01w.1468E+03,bad,none,-0.7120,0.4063,mixed,
nstx_135388/N1/egn01w.1904E+02,bad,none,0.9967,1.0000,below_upper2,
nstx_135388/N1/egn01w.1934E+02,bad,none,0.9965,1.0000,below_upper2,
nstx_135388/N1/egn01w.1963E+02,bad,none,0.9963,1.0000,below_upper2,
nstx_135388/N1/egn01w.1991E+02,bad,none,0.9960,1.0000,below_upper2,
nstx_135388/N1/egn01w.2018E+02,bad,none,0.9958,1.0000,below_upper2,
nstx_135388/N1/egn01w.2043E+02,bad,none,0.9956,1.0000,below_upper2,
nstx_135388/N1/egn01w.2067E+02,bad,none,0.9924,1.0000,below_upper2,
nstx_135388/N1/egn01w.2092E+02,bad,none,0.9936,1.0000,below_upper2,
nstx_135388/N1/egn01w.2115E+02,bad,none,0.9932,1.0000,below_upper2,
nstx_135388/N1/egn01w.2137E+02,bad,none,0.9926,1.0000,below_upper2,
nstx_135388/N1/egn01w.2159E+02,bad,none,0.9919,1.0000,below_upper2,
nstx_135388/N1/egn01w.2180E+02,bad,none,0.9911,1.0000,below_upper2,
nstx_135388/N1/egn01w.2200E+02,bad,none,0.9903,1.0000,below_upper2,
nstx_135388/N1/egn01w.2220E+02,bad,none,0.9892,1.0000,below_upper2,
nstx_135388/N1/egn01w.2240E+02,bad,none,0.9879,1.0000,below_upper2,
nstx_135388/N1/egn01w.2278E+02,bad,none,0.9863,1.0000,below_upper2,
nstx_135388/N1/egn01w.2296E+02,bad,none,0.9847,1.0000,below_upper2,
nstx_135388/N1/egn01w.2330E+02,bad,none,0.9830,1.0000,below_upper2,
nstx_135388/N1/egn01w.2347E+02,bad,none,0.9819,1.0000,below_upper2,
nstx_135388/N1/egn01w.2364E+02,bad,none,0.9810,1.0000,below_upper2,
nstx_135388/N1/egn01w.2395E+02,bad,none,0.9771,1.0000,below_upper2,
nstx_135388/N1/egn01w.2424E+02,bad,none,0.9758,1.0000,below_upper2,
nstx_135388/N1/egn01w.2439E+02,bad,none,0.9727,1.0000,below_upper2,
nstx_135388/N1/egn01w.2504E+02,bad,none,0.9694,1.0000,below_upper2,
