path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstxuG121123B12/N1/egn01w.4164E+02,bad,none,0.1046,0.7379,below_upper2,
nstxuG121123B12/N1/egn01w.4181E+02,bad,none,0.7215,0.9667,below_upper2,
nstxuG121123B12/N2/egn02w.4122E+02,bad,none,-0.3651,0.7045,below_upper2,
nstxuG121123B12/N2/egn02w.4228E+02,bad,none,0.7834,0.9829,below_upper2,
nstxuG121123B12/N3/egn03w.3642E+02,bad,none,-0.5656,0.4816,mixed,
nstxuG121123B12/N3/egn03w.3885E+02,bad,none,0.3287,0.8831,below_upper2,
nstxuG121123B12/N4/egn04w.3531E+02,bad,none,0.5718,0.9349,below_upper2,
nstxuG121123B12/N4/egn04w.3843E+02,bad,none,-0.5625,0.4629,mixed,
nstxuG121123B12/N6/egn06w.3574E+02,bad,none,0.4899,0.9023,below_upper2,
nstxuG121123B12/N7/egn07w.1059E+02,bad,none,0.9812,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.1123E+02,bad,none,0.9994,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.1224E+02,bad,none,0.9601,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.1373E+02,bad,none,0.9546,0.9761,below_upper2,
nstxuG121123B12/N7/egn07w.1458E+02,bad,none,0.9006,0.9999,below_upper2,
nstxuG121123B12/N7/egn07w.1583E+02,bad,none,0.9979,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.1880E+02,bad,none,0.9855,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.2052E+02,bad,none,0.9757,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.2666E+02,bad,none,0.9258,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.2697E+02,bad,none,0.9435,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.2744E+02,bad,none,0.8532,0.9179,below_upper2,
nstxuG121123B12/N7/egn07w.2755E+02,bad,none,0.9179,0.9609,below_upper2,
nstxuG121123B12/N7/egn07w.2770E+02,bad,none,0.9359,0.9999,below_upper2,
nstxuG121123B12/N7/egn07w.2883E+02,good,tae,0.8572,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.2949E+02,good,tae,0.5894,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.2972E+02,good,tae,0.5122,0.9995,below_upper2,
nstxuG121123B12/N7/egn07w.3171E+02,bad,none,0.6561,0.8813,below_upper2,
nstxuG121123B12/N7/egn07w.3281E+02,bad,none,0.7149,0.9111,below_upper2,
nstxuG121123B12/N7/egn07w.3405E+02,bad,none,0.3772,0.9156,below_upper2,
nstxuG121123B12/N7/egn07w.3416E+02,bad,none,-0.0363,0.8031,below_upper2,
nstxuG121123B12/N7/egn07w.3476E+02,bad,none,0.0277,0.8259,below_upper2,
nstxuG121123B12/N7/egn07w.3488E+02,bad,none,0.2264,0.9073,below_upper2,
nstxuG121123B12/N7/egn07w.3496E+02,bad,none,0.2418,0.9187,below_upper2,
nstxuG121123B12/N7/egn07w.3507E+02,bad,none,0.2975,0.9260,below_upper2,
nstxuG121123B12/N7/egn07w.3619E+02,bad,none,0.4009,0.7702,below_upper2,
nstxuG121123B12/N7/egn07w.8411E+01,bad,none,0.9951,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.9233E+01,bad,none,0.9955,1.0000,below_upper2,
nstxuG121123B12/N7/egn07w.9817E+01,bad,none,0.9735,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.1061E+02,bad,none,0.9807,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.1250E+02,bad,none,0.9991,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.1315E+02,bad,none,0.9478,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.1436E+02,bad,none,0.9961,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.2078E+02,bad,none,0.9943,0.9976,below_upper2,
nstxuG121123B12/N8/egn08w.2095E+02,bad,none,0.2238,0.4283,mixed,
nstxuG121123B12/N8/egn08w.2191E+02,bad,none,0.9777,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.2698E+02,good,tae,0.9845,0.9979,below_upper2,
nstxuG121123B12/N8/egn08w.2892E+02,bad,none,0.8116,0.9800,below_upper2,
nstxuG121123B12/N8/egn08w.2899E+02,bad,none,0.8591,0.9634,below_upper2,
nstxuG121123B12/N8/egn08w.2963E+02,good,tae,0.6312,0.9998,below_upper2,
nstxuG121123B12/N8/egn08w.3027E+02,bad,none,0.8684,0.9769,below_upper2,
nstxuG121123B12/N8/egn08w.3095E+02,bad,none,0.4222,0.8198,below_upper2,
nstxuG121123B12/N8/egn08w.3246E+02,bad,none,0.5677,0.9316,below_upper2,
nstxuG121123B12/N8/egn08w.3259E+02,bad,none,0.6193,0.9622,below_upper2,
nstxuG121123B12/N8/egn08w.3405E+02,bad,none,0.3575,0.8821,below_upper2,
nstxuG121123B12/N8/egn08w.3447E+02,bad,none,0.5574,0.9431,below_upper2,
nstxuG121123B12/N8/egn08w.3472E+02,bad,none,0.0211,0.7840,below_upper2,
nstxuG121123B12/N8/egn08w.3500E+02,bad,none,0.3061,0.8812,below_upper2,
nstxuG121123B12/N8/egn08w.3518E+02,bad,none,0.3751,0.8884,below_upper2,
nstxuG121123B12/N8/egn08w.3614E+02,bad,none,0.0951,0.8440,below_upper2,
nstxuG121123B12/N8/egn08w.8495E+01,bad,none,0.9961,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.8754E+01,bad,none,0.9926,1.0000,below_upper2,
nstxuG121123B12/N8/egn08w.9855E+01,bad,none,0.9866,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.1044E+02,bad,none,0.9989,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.1052E+02,bad,none,0.9727,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.1126E+02,bad,none,0.9797,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.1180E+02,bad,none,0.9964,0.9985,below_upper2,
nstxuG121123B12/N9/egn09w.1294E+02,bad,none,0.9660,0.9998,below_upper2,
nstxuG121123B12/N9/egn09w.1374E+02,bad,none,0.9705,0.9906,below_upper2,
nstxuG121123B12/N9/egn09w.1505E+02,bad,none,0.8965,0.9923,below_upper2,
nstxuG121123B12/N9/egn09w.1743E+02,good,tae,0.9919,0.9955,below_upper2,
nstxuG121123B12/N9/egn09w.2202E+02,bad,none,0.9962,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.2255E+02,bad,none,0.9945,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.2347E+02,bad,none,0.9772,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.2392E+02,bad,none,-0.0687,0.3568,mixed,
nstxuG121123B12/N9/egn09w.2431E+02,bad,none,0.9663,1.0000,below_upper2,
nstxuG121123B12/N9/egn09w.2477E+02,bad,none,0.9771,0.9999,below_upper2,
nstxuG121123B12/N9/egn09w.2601E+02,bad,none,0.9814,0.9997,below_upper2,
nstxuG121123B12/N9/egn09w.2661E+02,good,tae,0.9883,0.9991,below_upper2,
nstxuG121123B12/N9/egn09w.2852E+02,bad,none,0.8855,0.9697,below_upper2,
