path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstxu_204202/N1/egn01w.3866E+02,bad,none,-0.8590667828861418,0.04772898753946381,above_upper2,
nstxu_204202/N10/egn10w.3318E+02,bad,none,-0.8643927766213382,0.008304848003111683,above_upper2,
nstxu_204202/N10/egn10w.3164E+02,bad,none,-0.9864783735106533,0.000646798537832124,above_upper2,
nstxu_204202/N10/egn10w.3122E+02,bad,none,-0.9775305022732498,0.000612671664895465,above_upper2,
nstxu_204202/N2/egn02w.3054E+02,bad,none,-0.4495717222718119,0.1079392409227879,above_upper2,
nstxu_204202/N3/egn03w.2337E+02,bad,none,-0.4481751275257372,0.06430191081905773,above_upper2,
nstxu_204202/N4/egn04w.2939E+02,bad,none,-0.7391459781986469,0.1306033433444502,above_upper2,
nstxu_204202/N4/egn04w.2919E+02,bad,none,-0.7253287288548418,0.1365438156625741,above_upper2,
nstxu_204202/N10/egn10w.2984E+02,bad,none,-0.9911508081383832,0.002818622041421552,above_upper2,
nstxu_204202/N4/egn04w.3223E+02,bad,none,-0.3784768058135199,0.1671462868449913,above_upper2,
nstxu_204202/N10/egn10w.3356E+02,bad,none,-0.9286971671942058,0.001632163858373269,above_upper2,
nstxu_204202/N10/egn10w.3184E+02,bad,none,-0.9760495098707855,0.00139422337731127,above_upper2,
nstxu_204202/N4/egn04w.3192E+02,bad,none,-0.9678656299220926,0.01307426026616964,above_upper2,
nstxu_204202/N4/egn04w.2958E+02,bad,none,-0.749860297376441,0.1262474842660362,above_upper2,
nstxu_204202/N9/egn09w.3491E+02,bad,none,-0.4838278262715455,0.02355477276890973,above_upper2,
nstxu_204202/N2/egn02w.2310E+02,bad,none,-0.75476871108133,0.09538977535036181,above_upper2,
nstxu_204202/N9/egn09w.3457E+02,bad,none,-0.5200899948838295,0.0542371607498905,above_upper2,
nstxu_204202/N3/egn03w.2603E+02,bad,none,-0.8605375544761822,0.03850154534046184,above_upper2,
nstxu_204202/N4/egn04w.2648E+02,bad,none,-0.122138002055085,0.08988439855002657,above_upper2,
nstxu_204202/N9/egn09w.3433E+02,bad,none,-0.6783349888760806,0.0975314219173774,above_upper2,
nstxu_204202/N10/egn10w.3007E+02,bad,none,-0.9947817480980022,0.0002609487430269195,above_upper2,
nstxu_204202/N4/egn04w.3017E+02,bad,none,-0.6589173271033328,0.1664807921121758,above_upper2,
nstxu_204202/N4/egn04w.3099E+02,bad,none,-0.4320958069191668,0.2399385703472205,above_upper2,
nstxu_204202/N6/egn06w.3002E+02,bad,none,-0.8555255413093471,0.005090686140633097,above_upper2,
nstxu_204202/N10/egn10w.3143E+02,bad,none,-0.987889070631717,0.0006707108316109095,above_upper2,
nstxu_204202/N4/egn04w.3256E+02,bad,none,-0.2982874006252818,0.2271956055753361,above_upper2,
nstxu_204202/N6/egn06w.3165E+02,bad,none,-0.8777574728638048,0.009430298083295447,above_upper2,
nstxu_204202/N10/egn10w.3100E+02,bad,none,-0.9944073816914123,0.0001193897206465305,above_upper2,
nstxu_204202/N7/egn07w.3210E+02,bad,none,-0.9999578783834059,2.321760557291014e-06,above_upper2,
nstxu_204202/N4/egn04w.2856E+02,bad,none,-0.6125266349433486,0.1850143148113794,above_upper2,
nstxu_204202/N4/egn04w.2877E+02,bad,none,-0.5906903282713787,0.1923936185745788,above_upper2,
nstxu_204202/N6/egn06w.3117E+02,bad,none,-0.8944221847620094,0.02358666915649172,above_upper2,
